Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,32.5454216003418,35.4246891776911,26.90011689528922,29.051480080819935,855215656
1,2007-10-08,30.879337310791016,33.64537507515086,30.68522855070953,33.64537507515086,126671715
2,2007-10-09,32.98215866088867,33.27331948307246,29.22940698628121,30.89549805737403,116725709
3,2007-10-10,33.28950500488281,33.968883374439955,32.99834410019465,33.83947682149577,67931378
4,2007-10-11,37.00990676879883,38.82158101766896,32.99834518139679,38.82158101766896,106320954
5,2007-10-12,36.76728057861328,38.1422115851373,35.909971534483965,36.23348471248961,99410791
6,2007-10-15,37.25254440307617,37.75399238175067,36.929031276677506,37.52753143810056,41814972
7,2007-10-16,41.05381774902344,41.70084829693079,37.0422564347305,37.30106514355186,138614496
8,2007-10-17,44.256591796875,45.291830810628525,34.32473830154414,36.880492432741484,204876259
9,2007-10-18,42.70375442504883,48.3490619497536,40.875905583559394,44.9683469973544,146617799
10,2007-10-19,42.55815505981445,44.288950833134855,40.43914185377529,41.73319411226879,110266491
11,2007-10-22,41.992008209228516,43.30223439737445,40.600899365049735,41.7008473216324,72253405
12,2007-10-23,44.98451614379883,45.388907592335194,43.027258900125965,43.027258900125965,74594921
13,2007-10-24,44.288963317871094,46.42415102386459,43.78751529359426,45.93887690220752,63055170
14,2007-10-25,44.191890716552734,45.22713419501735,39.03185599683841,42.784608121364606,34522489
15,2007-10-26,45.51830291748047,46.246207379950434,43.755154797660126,44.96832890177674,62370025
16,2007-10-29,46.44032669067383,47.556448875821474,46.03593523053746,46.262396203385094,43657697
17,2007-10-30,47.475563049316406,48.75343722778894,45.680062618503946,47.07117165335785,79921711
18,2007-10-31,48.4622688293457,49.529864582852305,47.55643399721294,47.718190530659996,44655368
19,2007-11-01,47.37851333618164,50.03132303264523,46.99030017265182,49.659283772122784,50632492
20,2007-11-02,48.235816955566406,48.52698228060946,45.291846618226735,45.66389022513117,32001693
21,2007-11-05,49.222530364990234,50.30630012567762,47.912299679528566,48.203464979360426,38833135
22,2007-11-06,49.869571685791016,53.02382536173012,49.19019309338765,50.07985438660124,81880281
23,2007-11-07,49.14164352416992,51.50328698320094,48.04170005541474,50.791560921265926,33593141
24,2007-11-08,48.300506591796875,49.610736990740946,47.232915352295436,47.87994140967238,27990521
25,2007-11-12,49.46516799926758,50.33865517252419,45.56683229690677,46.844710867425235,35153735
