Price,Close,High,Low,Open,Volume
Ticker,IOC.NS,IOC.NS,IOC.NS,IOC.NS,IOC.NS
Date,,,,,
2000-01-03,4.510838985443115,4.550809460988851,4.163595014566025,4.330138757970387,426600
2000-01-04,4.403416633605957,4.463372616010879,4.231876700312186,4.330137544275316,439200
2000-01-05,4.35178804397583,4.4134093385264315,4.280173991163798,4.411743735870548,340200
2000-01-06,4.3318023681640625,4.3800999800692,4.264352328923593,4.296828146680296,326700
2000-01-07,4.4042487144470215,4.446717576017668,4.217719816068823,4.328471233337552,317700
2000-01-10,4.186076641082764,4.32180981304507,4.1735860513196075,4.198567516737194,423900
2000-01-11,3.992886781692505,4.263520670086551,3.914611448892684,4.163594214531681,711000
2000-01-12,4.312649726867676,4.312649726867676,4.312649726867676,4.312649726867676,6300
2000-01-13,4.538319110870361,4.658230551529689,4.463374388985425,4.658230551529689,152820
2000-01-14,4.614095687866211,4.69486943345741,4.330138375968929,4.613262886314154,153144
2000-01-17,4.424234390258789,4.828935790553851,4.3301369934435545,4.729841871912933,81054
2000-01-18,4.321811199188232,4.405083063179413,4.296829725758288,4.363447274129506,115110
2000-01-19,4.161096096038818,4.496681923242319,4.146939900581915,4.414242869006078,710280
2000-01-20,4.260189533233643,4.380100930725305,4.217720663133772,4.280174480257597,1124604
2000-01-21,4.281007289886475,4.3301377137913954,4.246865862169573,4.246865862169573,599076
2000-01-24,4.23270845413208,4.313482164217941,4.197734235015575,4.296827855845674,507132
2000-01-25,4.0645012855529785,4.246866529159314,4.030359566582641,4.171921822340134,324540
2000-01-26,4.0645012855529785,4.0645012855529785,4.0645012855529785,4.0645012855529785,0
2000-01-27,4.164427280426025,4.390094192382162,4.131118364495605,4.163594478907642,1266426
2000-01-28,4.147772789001465,4.246866159277184,4.096976758693487,4.246866159277184,426528
2000-01-31,4.11696195602417,4.24686612108799,4.01786830074819,4.24686612108799,844884
2000-02-01,4.152767658233643,4.444219512199832,4.099474095036285,4.15110262748422,647802
2000-02-02,4.36927604675293,4.485024019268835,4.2651858657470285,4.485024019268835,940842
2000-02-03,4.321811199188232,4.496682370871941,4.296829725758288,4.496682370871941,337356
2000-02-04,4.2934980392456055,4.371773651760137,4.2318767393789365,4.371773651760137,154368
2000-02-07,4.229377746582031,4.280173475422608,4.063666883983833,4.080321193188161,211410
2000-02-08,4.037853240966797,4.228545596746971,3.9970499770067156,4.1652592691997405,473256
2000-02-09,4.172754287719727,4.313483730583924,4.080322471030037,4.313483730583924,1034820
2000-02-10,4.109467506408691,4.163594169140886,4.055340557785162,4.163594169140886,346410
2000-02-11,4.012870788574219,4.2118905372922075,3.9970489961515225,4.2118905372922075,253422
2000-02-14,3.813852310180664,4.1469397183506,3.751398206730307,4.1469397183506,951138
2000-02-15,3.7847070693969727,3.8138522601129266,3.680616898346193,3.797197661210009,465948
2000-02-16,3.799696207046509,3.9970504239594233,3.780543489067324,3.8305064299638096,331956
2000-02-17,3.8396658897399902,3.913777770387211,3.7805427167649706,3.7971970269949322,243126
2000-02-18,3.661464214324951,3.89712384215429,3.5473818635869327,3.664795419766997,658854
2000-02-21,3.5632035732269287,3.6972711521139736,3.535723702020814,3.68061655476574,394650
2000-02-22,3.4374637603759766,3.696439314491509,3.4158132070155864,3.622327409062125,739332
2000-02-23,3.5540432929992676,3.6498062976007355,3.4974185202829227,3.630653582323925,1425420
2000-02-24,3.589601516723633,3.8063321809180817,3.5726697878234734,3.6911942153924913,539478
2000-02-25,3.5379579067230225,3.6133055788375086,3.5074803370847127,3.6133055788375086,202410
2000-02-28,3.73352313041687,3.75468800146045,3.488007777859245,3.488007777859245,1150488
2000-02-29,3.7521493434906006,3.9875050748387464,3.6403972767809525,3.77500759526052,3160260
2000-03-01,3.7572290897369385,3.775854485060612,3.691194099272197,3.7250584279826504,530316
2000-03-02,3.456683874130249,3.8926848541223924,3.456683874130249,3.8097178652874786,787176
2000-03-03,3.2162487506866455,3.4710765657950433,3.1806916312380884,3.386416190108183,840240
2000-03-06,3.021528720855713,3.2848224606137046,2.959726907533328,3.2848224606137046,1763622
2000-03-07,2.9267094135284424,3.0139098381833564,2.810725088158299,3.0139098381833564,689184
